NOMETABELA;ORDEM;NOMECAMPO;CHAVE;OBRIGATORIO;TIPO;DESCRICAO;TABELAORIGEM;FORMATO;REGRAS
AGENCIA;1;BCO_Codigo;SIM;SIM;Caractere(3);Cód. do banco;TI.BANCO;;
AGENCIA;2;AGN_Codigo;SIM;SIM;Caractere(10);Cód. da agência;;;REGRA 1: O conteúdo do campo deverá conter o/um dos seguinte(s) formato(s): 99999999-9 OU 9999999-99 OU 99999999-X.
AGENCIA;3;AGN_Nome;NÃO;SIM;Caractere(50);Nome;;;
ALTERACAO_LDO;1;FN_Codigo;SIM;SIM;Caractere(2);Cód. da função;LDO;01...28|77, 99;REGRA 1: O conteúdo do campo deverá estar preenchido com "01...28|'77', '99'".
ALTERACAO_LDO;2;SFN_Codigo;SIM;SIM;Caractere(3);Cód. da subfunção;LDO;;
ALTERACAO_LDO;3;PRG_Codigo;SIM;SIM;Caractere(4);Cód. do programa;LDO;;
ALTERACAO_LDO;4;PRAT_Numero;SIM;SIM;Caractere(5);Núm. do projeto/ atividade;LDO;;
ALTERACAO_LDO;5;ALTLDO_Data;SIM;SIM;Caractere(10);Data da alteração;;;REGRA 1: O conteúdo do campo deverá conter uma DATA válida, a DATA será validada segundo o critério "COMPETÊNCIA DA CARGA" (ver regra d).
ALTERACAO_LDO;6;ALTLDO_TipoMetaFisica;SIM;SIM;Caractere(1);Tipo da meta física;TI.TIPO_META_FISICA_FINANCEIRA;0...4;REGRA 1: O conteúdo do campo deverá estar preenchido com "0...4".
ALTERACAO_LDO;7;ALTLDO_TipoMetaFinanceira;SIM;SIM;Caractere(1);Tipo da meta financeira;TI.TIPO_META_FISICA_FINANCEIRA;0...4;REGRA 1: O conteúdo do campo deverá estar preenchido com "0...4".
ALTERACAO_LDO;8;ALTLDO_ValorMetaFisica;NÃO;COND;Caractere(14,2);Valor da meta física;;;REGRA 1: O conteúdo do campo deverá estar preenchido quando o conteúdo do campo "ALTLDO_TIPOMETAFISICA" for "'1', '2', '4'".
ALTERACAO_LDO;9;ALTLDO_ValorMetaFinanceira;NÃO;COND;Caractere(14,2);Valor da meta financeira;;;REGRA 1: O conteúdo do campo deverá estar preenchido quando o conteúdo do campo "ALTLDO_TIPOMETAFINANCEIRA" for "'1', '2', '4'".
ALTERACAO_LDO;10;LEI_Numero;NÃO;SIM;Caractere(10);Núm. da LDO;LEI;"99999/AAAA" (NRO/ANO);REGRA 1: O conteúdo do campo deverá conter um valor no formato "99999/AAAA" (NRO/ANO), o ANO será validado segundo o critério "<= EXERCÍCIO" (ver regra d).
ALTERACAO_LOA;1;LOA_AnoExercicio;SIM;SIM;Caractere(4);Exercício da LOA;LOA;"9999" (NRO);REGRA 1: O conteúdo do campo deverá conter um MÊS ou ANO válido, o MÊS ou ANO será validado segundo o critério "= EXERCÍCIO" (ver regra d).
ALTERACAO_LOA;2;ORG_Codigo;SIM;SIM;Caractere(2);Cód. do órgão;DOTACAO;;
ALTERACAO_LOA;3;UNOR_Codigo;SIM;SIM;Caractere(3);Cód. da unidade orçamentária;DOTACAO;;
ALTERACAO_LOA;4;FN_Codigo;SIM;SIM;Caractere(2);Cód. da função;DOTACAO;01...28|77, 99;REGRA 1: O conteúdo do campo deverá estar preenchido com "01...28|'77', '99'".
ALTERACAO_LOA;5;SFN_Codigo;SIM;SIM;Caractere(3);Cód. da subfunção;DOTACAO;;
ALTERACAO_LOA;6;PRG_Codigo;SIM;SIM;Caractere(4);Cód. do programa;DOTACAO;;
ALTERACAO_LOA;7;PRAT_Numero;SIM;SIM;Caractere(5);Núm. do projeto/ atividade;DOTACAO;;
ALTERACAO_LOA;8;CTEC_Codigo;SIM;SIM;Caractere(1);Cód. da categoria econômica;DOTACAO;1...4|9;REGRA 1: O conteúdo do campo deverá estar preenchido com "1...4|'9'".
ALTERACAO_LOA;9;NDESP_Codigo;SIM;SIM;Caractere(1);Cód. do grupo da natureza de despesa;DOTACAO;1...6|9;REGRA 1: O conteúdo do campo deverá estar preenchido com "1...6|'9'".
ALTERACAO_LOA;10;MDAP_Codigo;SIM;SIM;Caractere(2);Cód. da modalidade de aplicação;DOTACAO;20, 22, 30, 40, 42, 50, 60, 67, 70, 71, 72, 73, 74, 75, 76, 80, 90, 91, 92, 93, 94, 95, 96, 99;REGRA 1: O conteúdo do campo deverá estar preenchido com "'20', '22', '30', '40', '42', '50', '60', '67', '70', '71', '72', '73', '74', '75', '76', '80', '90', '91', '92', '93', '94', '95', '96', '99'".
ALTERACAO_LOA;11;ELDE_Codigo;SIM;SIM;Caractere(2);Cód. do elemento de despesa;DOTACAO;00...99;REGRA 1: O conteúdo do campo deverá estar preenchido com "00...99".
ALTERACAO_LOA;12;SELDE_Codigo;SIM;SIM;Caractere(2);Cód. do subelemento de despesa;DOTACAO;00...99;REGRA 1: O conteúdo do campo deverá estar preenchido com "00...99".
ALTERACAO_LOA;13;DRGRP_Codigo;SIM;SIM;Caractere(1);Cód. do grupo da destinação de recurso;DOTACAO OU T.I. DESTINACAO_RECURSO_GRUPO;1, 2, 9;REGRA 1: O conteúdo do campo deverá estar preenchido com "'1', '2', '9'".
ALTERACAO_LOA;14;DRESP_Codigo;SIM;SIM;Caractere(3);Cód. da especificação da destinação de recurso;DOTACAO;;
ALTERACAO_LOA;15;DESTREC_Codigo;SIM;SIM;Caractere(7);Cód. da destinação de recurso;DOTACAO ou T.I. DESTINACAO_RECURSO;;
ALTERACAO_LOA;16;AORC_Data;SIM;SIM;Caractere(10);Data da alteração;;;REGRA 1: O conteúdo do campo deverá conter uma DATA válida, a DATA será validada segundo o critério "COMPETÊNCIA DA CARGA" (ver regra d).
ALTERACAO_LOA;17;LEI_Numero;SIM;SIM;Caractere(10);Núm. da lei da autorização;LEI ou DECRETO;"99999/AAAA" (NRO/ANO);REGRA 1: O conteúdo do campo deverá conter um valor no formato "99999/AAAA" (NRO/ANO), o ANO será validado segundo o critério "<= EXERCÍCIO" (ver regra d).
ALTERACAO_LOA;18;DECR_Numero;SIM;SIM;Caractere(10);Núm. do decreto da autorização;DECRETO;"99999/AAAA" (NRO/ANO);REGRA 1: O conteúdo do campo deverá conter um valor no formato "99999/AAAA" (NRO/ANO), o ANO será validado segundo o critério "<= EXERCÍCIO ou ZERO" (ver regra d).
ALTERACAO_LOA;19;ALTLOA_TipoAlteracao;SIM;SIM;Inteiro;Tipo da alteração;TI.TIPO_ALTERACAO_LOA;1...12;REGRA 1: O conteúdo do campo deverá estar preenchido com "1...12".
ALTERACAO_LOA;20;ALTLOA_TipoRecursos;SIM;SIM;Caractere(1);Tipo do recurso;TI.TIPO_RECURSO_LOA;0...8;REGRA 1: O conteúdo do campo deverá estar preenchido com "0...8".
ALTERACAO_LOA;21;ALTLOA_Valor;NÃO;SIM;Caractere(14,2);Valor;;;REGRA 1: O conteúdo do campo deverá conter o número ZERO ou POSITIVO quando obrigatório.
ALTERACAO_PPA;1;PPA_Exercicio;SIM;SIM;Caractere(4);Exercício do PPA;PPA;"9999" (NRO);
ALTERACAO_PPA;2;FN_Codigo;SIM;SIM;Caractere(2);Cód. da função;PPA;01...28|77, 99;REGRA 1: O conteúdo do campo deverá estar preenchido com "01...28|'77', '99'".
ALTERACAO_PPA;3;SFN_Codigo;SIM;SIM;Caractere(3);Cód. da subfunção;PPA;;
ALTERACAO_PPA;4;PRG_Codigo;SIM;SIM;Caractere(4);Cód. do programa;PPA;;
ALTERACAO_PPA;5;PRAT_Numero;SIM;SIM;Caractere(5);Núm. do projeto/ atividade;PPA;;
ALTERACAO_PPA;6;ALTPPA_Data;SIM;SIM;Caractere(10);Data da alteração;;;REGRA 1: O conteúdo do campo deverá conter uma DATA válida, a DATA será validada segundo o critério "COMPETÊNCIA DA CARGA" (ver regra d).
ALTERACAO_PPA;7;ALTPPA_TipoMetaFisica;SIM;SIM;Caractere(1);Tipo da meta física;TI.TIPO_META_FISICA_FINANCEIRA;0...4;REGRA 1: O conteúdo do campo deverá estar preenchido com "0...4".
ALTERACAO_PPA;8;ALTPPA_TipoMetaFinanceira;SIM;SIM;Caractere(1);Tipo da meta financeira;TI.TIPO_META_FISICA_FINANCEIRA;0...4;REGRA 1: O conteúdo do campo deverá estar preenchido com "0...4".
ALTERACAO_PPA;9;ALTPPA_ValorMetaFisica;NÃO;SIM;Caractere(14,2);Valor da meta física;;;REGRA 1: O conteúdo do campo deverá conter o número ZERO ou POSITIVO quando obrigatório.
ALTERACAO_PPA;10;ALTPPA_ValorMetaFinanceira;NÃO;SIM;Caractere(14,2);Valor da meta financeira;;;REGRA 1: O conteúdo do campo deverá conter o número ZERO ou POSITIVO quando obrigatório.
ALTERACAO_PPA;11;LEI_Numero;NÃO;SIM;Caractere(10);Núm. da lei do PPA;LEI;"99999/AAAA" (NRO/ANO);REGRA 1: O conteúdo do campo deverá conter um valor no formato "99999/AAAA" (NRO/ANO), o ANO será validado segundo o critério "<= EXERCÍCIO" (ver regra d).
ANULACAO_EMPENHO;1;ORG_Codigo;SIM;SIM;Caractere(2);Cód. do órgão;EMPENHO;;
ANULACAO_EMPENHO;2;UNOR_Codigo;SIM;SIM;Caractere(3);Cód. da unidade orçamentária;EMPENHO;;
ANULACAO_EMPENHO;3;EMP_Numero;SIM;SIM;Caractere(11);Núm. do empenho;EMPENHO;"999999/AAAA" (NRO/ANO);REGRA 1: O conteúdo do campo deverá conter um valor no formato "999999/AAAA" (NRO/ANO), o ANO será validado segundo o critério "= EXERCÍCIO" (ver regra d).
ANULACAO_EMPENHO;4;ANUL_NumNotaAnulacao;SIM;SIM;Caractere(11);Núm. da nota de anulação;;"999999/AAAA" (NRO/ANO);REGRA 1: O conteúdo do campo deverá conter um valor no formato "999999/AAAA" (NRO/ANO), o ANO será validado segundo o critério "= EXERCÍCIO" (ver regra d).
ANULACAO_EMPENHO;5;ANUL_Data;NÃO;SIM;Caractere(10);Data;;;REGRA 1: O conteúdo do campo deverá conter uma DATA válida, a DATA será validada segundo o critério "COMPETÊNCIA DA CARGA" (ver regra d).
ANULACAO_EMPENHO;6;ANUL_Valor;NÃO;SIM;Caractere(14,2);Valor;;;REGRA 1: O conteúdo do campo deverá conter um número POSITIVO quando obrigatório.
